1 Physics | Electromagnetism | Which of the following graph represents the output of an X-ray? [Diagram/graph/structure required — 
29 Physics | Electronics | Which one of the following is the truth table of NAND gate? [Diagram/graph/structure required — not 
32 Physics | Current Electricity | Total resistance between 'A' and 'B' in the given circuit is: [Diagram/graph/structure required — no
45 Chemistry | Chemical Bonding | Which one of the following is structural formula of proline? [Diagram/graph/structure required — not
53 Chemistry | Chemical Bonding | Choose the right molecule. [Diagram/graph/structure required — not transcribable from OCR text. See 
54 Chemistry | Chemistry of Hydrocarbons | Structure shown is: [-C(=O)-C6H4-C(=O)-O-CH2-CH2-O-]n [Diagram/graph/structure required — not transc
64 Chemistry | Chemical Bonding | Structure shown (ethylene, H2C=CH2). [Diagram/graph/structure required — not transcribable from OCR 
69 Chemistry | Electrochemistry | The diagram shows a galvanic cell (Cu electrode in 1M CuSO4 solution, H2 electrode in 1M HCl solutio
86 Chemistry | Chemistry of Hydrocarbons | Skeletal formula of an organic compound is given below (hydrocarbon). [Diagram/graph/structure requi
92 Chemistry | Fundamental Principles of Organic Chemistry | Structure of an alcohol (branched carbon skeleton ending in -OH). [Diagram/graph/structure required 
93 Chemistry | Chemistry of Hydrocarbons | Which one of the following is an appropriate structure of product of bromination? [Diagram/graph/str
94 Chemistry | Fundamental Principles of Organic Chemistry | Structure of a nitro-substituted phenol (three -NO2 groups). [Diagram/graph/structure required — not
95 Chemistry | Chemistry of Hydrocarbons | Structure: (CH3)2C=N-NH-C6H3(NO2)2. [Diagram/graph/structure required — not transcribable from OCR t
164 Biology | Biological Molecules | Which one of the following is the formula structure of D (α) glucose? [Diagram/graph/structure requi
169 Biology | Enzymes | Diagram shows an inhibitor bound to an enzyme, not at the substrate's binding site. [Diagram/graph/s
171 Biology | Enzymes | Which one of the following graphs shows how the rate of reaction of pepsin is affected by pH? [Diagr
